Manila,"317,572"
Mandaluyong,"278,718"
Marikina,"316,355"
Pasig,"311,935"
Quezon City,"334,339"
San Juan,"325,999"
Caloocan,"246,134"
Malabon,"242,547"
Navotas,"245,124"
Valenzuela,"267,119"
Las Pinas,"318,248"
Makati,"351,594"
Muntinlupa,"294,498"
Paranaque,"381,404"
Pasay,"272,930"
Pateros,"361,963"
Taguig,"281,572"
Abra,"131,182"
Benguet,"239,574"
Ifugao,"112,412"
Kalinga,"157,711"
Mountain Province,"132,030"
Apayao,"94,349"
Ilocos Norte,"182,475"
Ilocos Sur,"152,783"
La Union,"159,299"
Pangasinan,"149,178"
Batanes,"127,706"
Cagayan,"130,306"
Isabela,"135,627"
Nueva Vizcaya,"162,175"
Quirino,"136,764"
Bataan,"243,785"
Bulacan,"219,674"
Nueva Ecija,"167,870"
Pampanga,"237,242"
Tarlac,"198,528"
Zambales,"163,023"
Aurora,"149,194"
Batangas,"199,375"
Cavite,"263,805"
Laguna,"245,286"
Quezon,"130,673"
Rizal,"281,205"
Marinduque,"148,792"
Occidental Mindoro,"139,418"
Oriental Mindoro,"132,465"
Palawan,"140,015"
Romblon,"105,152"
Albay,"145,254"
Camarines Norte,"147,288"
Camarines Sur,"151,761"
Catanduanes,"151,334"
Masbate,"112,525"
Sorsogon,"124,249"
Aklan,"147,166"
Antique,"118,310"
Capiz,"172,634"
Iloilo,"179,248"
Negros Occidental,"146,642"
Guimaras,"161,045"
Bohol,"140,850"
Cebu,"175,753"
Negros Oriental,"126,901"
Siquijor,"159,708"
Eastern Samar,"103,454"
Leyte,"143,557"
Northern Samar,"113,743"
Samar,"100,745"
Southern Leyte,"133,431"
Biliran,"167,745"
Zamboanga del Norte,"101,618"
Zamboanga del Sur,"121,802"
Zamboanga Sibugay,"112,596"
Isabela City,"167,742"
Bukidnon,"114,130"
Camiguin,"130,451"
Lanao del Norte,"141,188"
Misamis Occidental,"101,416"
Misamis Oriental,"170,454"
Davao del Norte,"146,640"
Davao del Sur,"164,727"
Davao Oriental,"114,890"
Compostela Valley,"139,394"
North Cotabato,"126,934"
South Cotabato,"167,132"
Sultan Kudarat,"99,139"
Sarangani,"118,620"
Cotabato City,"157,346"
Agusan del Norte,"150,423"
Agusan del Sur,"125,776"
Surigao del Norte,"134,810"
Surigao del Sur,"141,385"
Basilan,"111,771"
Lanao del Sur,"110,739"
Maguindanao,"106,330"
Sulu,"109,815"
Tawi‐Tawi,"137,881"
