"cluster","lat","lon","wealthscore","n"
1,14.60553,120.9485,-38020.1666666667,6
2,14.61274,120.9667,64852.6,10
3,14.62319,120.98334,88021.7647058823,17
4,14.56937,120.96649,88534.4545454545,11
5,14.61894,120.98332,41257.1428571429,14
6,14.61215,120.98187,120196.933333333,15
7,14.5936,121.00044,128109.047619048,21
8,14.63496,120.99519,39589.25,4
9,14.61121,120.99558,156341.583333333,12
10,14.61209,120.97607,133432.6875,16
11,14.56748,120.97882,68201.3333333333,3
12,14.56274,120.98432,105532.3,10
13,14.58097,120.99556,75657.6470588235,17
14,14.59367,120.96966,10827.6666666667,3
15,14.59441,121.01443,131588.153846154,13
16,14.60249,121.01061,101787.733333333,15
17,14.67464,121.01179,108719.5,2
18,14.65476,121.0281,68999.5789473684,19
19,14.65199,121.02682,119717.272727273,11
20,14.65057,121.04287,75902.6666666667,3
21,14.72567,121.08706,100579.833333333,6
22,14.65663,121.05397,73195.9375,32
23,14.61414,121.01928,99592.9,10
24,14.67241,121.01215,100221.576923077,26
25,14.74359,121.08729,67395.5,4
26,14.70515,121.05572,22541.7272727273,11
27,14.67729,121.01235,117656.5,8
28,14.64589,121.0552,108403.25,4
29,14.62763,120.99343,13924.5,4
30,14.62152,120.99715,72577.7,10
31,14.67129,121.07895,47151,8
32,14.61726,121.04106,129046.666666667,3
33,14.64115,121.03619,77093.5,4
34,14.75366,121.08659,70137.4,10
35,14.677,121.04112,120731.333333333,6
36,14.64197,121.06013,67255.7,20
37,14.62614,120.99542,184923.666666667,3
38,14.65851,121.02456,83016.75,4
39,14.62277,121.07079,123515.333333333,6
40,14.74083,121.05521,141574.25,4
41,14.60232,120.99986,65484,3
42,14.61933,121.05137,175019,1
43,14.69382,121.04254,168764.518518519,27
44,14.66992,121.0694,86351.7222222222,18
45,14.66544,121.04419,139761.5,8
46,14.6273,121.044,94120.8333333333,6
47,14.61504,121.0708,169406,6
48,14.69402,121.10876,94525,3
49,14.68295,121.09629,62333.5,26
50,14.73692,121.055,107764.166666667,6
51,14.60188,121.01017,94461.8235294118,17
52,14.58355,121.06214,105027.4,5
53,14.57113,121.02902,55548.6666666667,3
