"loc","nl_mean","nl_min","nl_max","nl_sd","consumption"
"Abra",0.117898594990837,0,9,0.831744995767194,111176
"Agusan del Norte",1.1908565133572,0,38,4.04277188669986,149008
"Agusan del Sur",0.137011901249139,0,13,0.925205148253354,113388
"Aklan",0.622918707149853,0,27,2.39667900685179,107146
"Albay",2.23377010125074,0,39,4.73835812003191,147647
"Antique",0.263297090802233,0,19,1.50445993898389,109478
"Apayao",0.00810305422813214,0,4,0.170985591507409,114332
"Aurora",0.0724405239240845,0,6,0.585330615935093,149806
"Basilan",0.200484554815263,0,7,0.946649470294991,93554
"Bataan",6.95224559408755,0,50,6.8949532511507,244402
"Batanes",0,0,0,0,272334
"Batangas",7.76518218623482,0,55,8.691990419827,182600
"Benguet",5.33990719257541,0,60,13.9671340027695,235220
"Biliran",0.268996960486322,0,6,1.05797510421915,184597
"Bohol",0.555776892430279,0,37,2.42263774308374,129881
"Bukidnon",0.501903258750348,0,21,2.11078301099776,122772
"Bulacan",9.19541616405308,0,62,12.8599295852217,212492
"Cagayan",0.28492229391984,0,21,1.65453354168259,132046
"Caloocan",51,20,62,10.4436472289072,233959
"Camarines Norte",0.437908496732026,0,14,1.65694601163408,134279
"Camarines Sur",1.47216035634744,0,49,4.62320257926517,137682
"Camiguin",0.0782312925170068,0,5,0.599205048667394,134063
"Capiz",0.546319018404908,0,23,2.47677185922675,153604
"Catanduanes",0.259884027411703,0,7,1.11824087064063,172918
"Cavite",23.6828559568286,0,62,18.6599632471496,255018
"Cebu",5.30625614150016,0,63,12.5555884429653,170998
"Compostela Valley",0.239139099242726,0,11,1.18802686398972,120487
"Cotabato City",3.25641025641026,0,37,7.5269516838299,174005
"Davao del Norte",1.42669264490989,0,38,3.81568129540987,140995
"Davao del Sur",2.8163490748412,0,60,9.17090371618988,159150
"Davao Oriental",0.179309205090068,0,13,1.07199123535313,84921
"Eastern Samar",0.0992280173225381,0,6,0.68018869029213,112749
"Guimaras",0.266479663394109,0,7,1.18592451014269,137926
"Ifugao",0.0722222222222222,0,5,0.535450942017337,123221
"Ilocos Norte",2.14569686017619,0,43,6.29682684856941,166223
"Ilocos Sur",1.76862858799652,0,24,3.42585390024587,157159
"Iloilo",3.4712105183618,0,60,10.3481181776779,161656
"Isabela",0.447736560829928,0,17,1.58815085067356,134294
"Isabela City",0.853846153846154,0,7,1.8933394267099,133438
"Kalinga",0.0657263751763047,0,5,0.517112837743703,150620
"La Union",1.89410417859187,0,26,3.00070717829925,152788
"Laguna",10.1390243902439,0,62,14.579194380334,227155
"Lanao del Norte",0.844772661453808,0,47,4.22878448668205,137187
"Lanao del Sur",0.850634672230916,0,16,2.53128924647007,110956
"Las Pinas",61.3421052631579,57,62,1.02076589659296,326320
"Leyte",2.21257929545148,0,44,6.55474317991577,138415
